L,Arrest,09/30/17. 01:37 AM.,DRIVING UNDER THE INFLUENCE 8041,Details
M,Arrest,09/30/17. 01:16 AM.,DRIVING UNDER THE INFLUENCE 8027,Details
N,Vandalism,09/30/17. 02:52 AM.,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY 2902,Details
A,Theft,09/29/17. 05:21 PM.,SHOPLIFTING 3073,Details
B,Vandalism,09/29/17. 03:57 PM.,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY 2902,Details
C,Arrest,09/29/17. 10:35 PM.,DRUG EQUIPMENT VIOLATIONS 3550,Details
D,Vandalism,09/29/17. 11:30 PM.,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY 2902,Details
E,Arrest,09/29/17. 10:35 PM.,DRUG/NARCOTIC VIOLATIONS 3504,Details
F,Arrest,09/29/17. 10:35 PM.,DRUG/NARCOTIC VIOLATIONS 3557,Details
G,Arrest,09/29/17. 10:35 PM.,DRUG/NARCOTIC VIOLATIONS 3532,Details
H,Arrest,09/29/17. 10:35 PM.,DRUG/NARCOTIC VIOLATIONS 3562,Details
I,Theft,09/29/17. 05:45 PM.,THEFT FROM BUILDING 2308,Details
J,Assault,09/29/17. 11:30 PM.,SIMPLE ASSAULT 1313,Details
K,Arrest,09/29/17. 10:36 PM.,DRUG/NARCOTIC VIOLATIONS 3560,Details
L,Arrest,09/29/17. 10:35 PM.,DRUG/NARCOTIC VIOLATIONS 3560,Details
M,Assault,09/29/17. 04:02 PM.,FORCIBLE FONDLING 1178,Details
N,Theft,09/29/17. 01:35 PM.,ALL OTHER LARCENY 2399,Details
O,Assault,09/29/17. 03:06 PM.,AGGRAVATED ASSAULT 1302,Details
P,Theft,09/29/17. 02:00 AM.,CREDIT CARD/ATM 2605,Details
Q,Vandalism,09/29/17. 03:45 PM.,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY 2903,Details
R,Arrest,09/29/17. 12:12 AM.,DRIVING UNDER THE INFLUENCE 8041,Details
S,Theft,09/29/17. 02:40 AM.,THEFT FROM MOTOR VEHICLE 2305,Details
T,Other,09/29/17. 01:30 AM.,ALL OTHER 5015,Details
U,Other,09/29/17. 12:26 AM.,DISORDERLY CONDUCT 5311,Details
V,Theft,09/29/17. 02:00 AM.,MOTOR VEHICLE THEFT 2404,Details
W,Theft,09/29/17. 03:05 AM.,MOTOR VEHICLE THEFT 2404,Details
A,Vandalism,09/28/17. 05:00 PM.,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY 2901,Details
B,Assault,09/28/17. 05:00 PM.,SIMPLE ASSAULT 1313,Details
C,Theft,09/28/17. 11:00 AM.,THEFT FROM BUILDING 2308,Details
D,Assault,09/28/17. 12:00 PM.,INTIMIDATION 1380,Details
E,Theft,09/28/17. 05:00 PM.,SHOPLIFTING 3078,Details
F,Theft,09/28/17. 12:00 PM.,ALL OTHER LARCENY 2309,Details
G,Theft,09/28/17. 11:00 PM.,MOTOR VEHICLE THEFT 2404,Details
H,Other,09/28/17. 11:55 PM.,ALL OTHER 5399,Details
I,Theft,09/28/17. 03:00 AM.,MOTOR VEHICLE THEFT 2404,Details
